Performance,Attempt,Group
-1.1332651517341927,first,successful
0.9063289797232237,first,successful
-0.04767836007600153,first,successful
0.2569237514888852,second,successful
0.5378248258183124,second,successful
1.4193780903692823,second,successful
0.19879043473644942,second,successful
0.8787730009130286,second,successful
0.6687714161417676,second,successful
0.394985846293977,second,successful
1.6799072443101797,second,successful
0.8244341192144778,second,successful
0.21358439131962603,second,successful
1.4237733120200617,second,successful
0.12565784849003675,second,successful
-0.4249623813198252,second,successful
-0.04101039726947444,second,successful
-0.32854606945329484,second,successful
-1.099116072015522,second,successful
0.8312591100291139,second,successful
0.4210504419968805,second,successful
0.5134491134248351,second,successful
0.8030399357441715,second,successful
0.04928321415695697,second,successful
0.19955813332937522,second,successful
-0.3203303687349218,second,successful
-0.31950544818513077,second,successful
0.17248026137678954,second,successful
0.3050345412869799,second,successful
0.511165860333794,second,successful
0.9698772283438946,second,successful
0.022329507149358704,second,successful
-1.4555371213823654,second,successful
-0.19630797371813133,second,successful
0.5202132369960465,second,successful
0.8802258909776842,second,successful
0.36641124159125216,second,successful
2.32991930497883,second,successful
1.4297090844479774,second,successful
1.8188084425979523,second,successful
-0.15927984538209958,second,successful
-0.8607959866240642,second,successful
0.7374029228976098,second,successful
-0.4854879525629312,second,successful
0.19880143485841836,second,successful
0.5338198437670248,second,successful
-0.8461995332943205,second,successful
0.006154660720446958,second,successful
0.1284805977323251,second,successful
1.492347274866754,second,successful
0.7551826691995575,second,successful
-0.20559349948306752,second,successful
-0.24888408789159575,second,successful
0.0611776328640492,second,successful
0.12712572712747505,second,successful
-0.5392479288058966,second,successful
-0.18257238698255177,second,successful
0.45740703572164837,second,successful
-0.7376666919414371,second,successful
0.6738123659145936,second,successful
-0.3308291623181459,second,successful
0.45106398735828995,second,successful
-0.5861401132560178,second,successful
-0.686419084146885,second,successful
-1.6546933529317542,second,successful
0.9680443909820402,second,successful
0.07605889338607201,second,successful
0.19662993457520292,second,successful
0.9548863529449186,second,successful
0.580029423502928,second,successful
0.3345283323765981,second,successful
0.38011382250481446,second,successful
0.19819349241199166,second,successful
-0.04767836007600153,second,successful
-1.30098874999794,second,successful
1.06488733426121,second,successful
-0.1361383538101307,second,successful
1.6095423308718717,second,successful
2.636222890422785,second,successful
0.3829916452954695,second,successful
0.19086633477231102,second,successful
1.358634247558206,second,successful
0.10642359440598576,second,successful
0.7812920519396587,second,successful
-0.22828549301909296,second,successful
0.8787320850226455,second,successful
0.0611776328640492,second,successful
1.2056320298459364,second,successful
0.3430938232220588,second,successful
0.07605889338607201,second,successful
0.2498998242328674,second,successful
-0.13637250024350964,second,successful
0.29906940562731565,second,successful
0.18083927799506783,second,successful
0.6271455000335123,second,successful
0.17301864447291904,second,successful
0.22036228187168236,second,successful
-1.6750549861042547,second,successful
0.30868045411754885,second,successful
0.16604340229933154,second,successful
0.5523205524196753,second,successful
0.488098885334791,second,successful
0.3534287073623132,second,successful
-0.1008513861171397,second,successful
0.7132465381917001,second,successful
-0.41643371377561633,second,successful
-0.019040339086282634,second,successful
0.6803083943937942,second,successful
0.6342077727327089,second,successful
1.0366859495968153,second,successful
0.19220068589193479,second,successful
0.6569001128363253,second,successful
0.9533309835908862,second,successful
-0.4249623813198252,second,successful
-0.04767836007600153,second,successful
-0.5080750443034552,second,successful
-0.058833443612345354,second,successful
0.23240327739097164,second,successful
0.5339091107710721,second,successful
0.2569237514888852,second,successful
0.9791929503290467,second,successful
0.9548863529449186,second,successful
1.0383824510427564,second,successful
0.0018743666545411456,second,successful
0.7196113722445613,second,successful
-0.046672647964304426,second,successful
-0.2042653767709042,second,successful
-1.518971006842217,second,successful
0.9503093495518848,second,successful
0.6603916060095151,second,successful
1.3411620562656985,second,successful
0.5997941833703841,second,successful
-0.1475762750697787,second,successful
0.6855528189277521,second,successful
0.735403348733379,second,successful
-0.875129298274026,second,successful
0.9130474136679322,second,successful
1.5952627725458104,second,successful
0.7858669546506564,second,successful
0.36641124159125216,second,successful
0.96866716263975,second,successful
0.35062312544677443,second,successful
-0.8091506254972619,second,successful
-0.8707873152783969,second,successful
-0.5861401132560178,second,successful
0.6342077727327089,second,successful
0.2729257930675632,second,successful
0.713652639546717,second,successful
0.677850109402819,second,successful
0.5755295953542143,second,successful
-0.6264192896411882,second,successful
0.11284063730147341,second,successful
0.5758232035429398,second,successful
0.9571327009650759,second,successful
1.313442999777714,second,successful
0.8549240578861106,second,successful
-0.30080823792675543,second,successful
0.7203300143272793,second,successful
0.6596332231040053,second,successful
0.6114946135493231,second,successful
-0.850706174272744,second,successful
1.0975390547238635,second,successful
-0.4429014476063149,second,successful
0.5958512597119915,second,successful
0.7570421885449987,second,successful
0.9005111117797708,second,successful
0.383854067446952,second,successful
-1.3045936731942316,second,successful
0.07377996611446574,second,successful
0.44495131951464234,second,successful
0.2729257930675632,second,successful
-1.0408229167280947,second,successful
-0.31953229557318835,second,successful
0.6610326469040083,second,successful
0.18838388841887213,second,successful
0.4675240337274459,second,successful
0.5081647363780554,second,successful
-0.46277099078107053,second,successful
-0.8443451263178414,second,successful
-0.9318239991575387,second,successful
